"Address";"Tags"
"Дніпропетровська, 49000, Днепропетровск, КИРОВОГРАДСКАЯ 61-Б";"['Region', 'PostCode', 'Locality', 'Street', 'HouseNumber']"
"Херсонська, м, Херсон, вулиця, Бериславське шосе, 60, 35";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumber', 'Apartment']"
"Киев, Киев, Б-Р ВИСОЦЬКОГО, 6";"['Region', 'Locality', 'StreetType', 'Street', 'HouseNumberType']"
"Київ, вул. Маяковського, 49а, кв. 171";"['Region', 'StreetType', 'Street', 'HouseNumber', 'ApartmentType', 'Apartment']"
"Київ, вул. В. Стуса буд. 7 кв. гуртожиток";"['Region', 'StreetType', 'Street', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'HostelType']"
"обл. Киев м. Киев, ВИШНЯКІВСЬКА ВУЛ., буд. 8А, кв. 89";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"01001 КИЇВ, місто КИЇВ, місто Київ вул. НАРОДНОГО ОПОЛЧЕННЯ, буд. 14";"['PostCode', 'Region', 'LocalityType', 'Locality', 'LocalityType', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumberType', 'HouseNumber']"
"01001 КИЇВСЬКА ОБЛАСТЬ Вишгородський район Катюжанка вул. ХУТОРІВКА, буд. 15";"['PostCode', 'Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"01001 ХЕРСОНСЬКА ОБЛАСТЬ Херсон, місто Херсон вул. І. Кулика, буд. 114д, кв. 2";"['PostCode', 'Region', 'RegionType', 'Locality', 'LocalityType', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"01001";"['PostCode']"
"01001, Україна, Київська обл., с. Королівка, вул. Червоноградська, буд. 46, кв. відсутня";"['PostCode', 'Country', 'Region', 'RegionType', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Comment']"
"07301 Київська Вишгород 07301, Київська обл.";"['PostCode', 'Region', 'Locality', 'PostCode', 'Region', 'RegionType']"
"07400, Україна, Київська, м. Бровари, вул. Сергія Москаленка, буд. 2, корп. Ж/Б, кв. 14";"['PostCode', 'Country', 'Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumberType', 'HouseNumber', 'HousingType', 'Housing', 'ApartmentType', 'Apartment']"
"07441, Україна, Київська обл., БРОВАРСЬКИЙ р-н., с. ТАРАСІВКА, вул. 9 СІЧНЯ, буд. 5, кв. 41";"['PostCode', 'Country', 'Region', 'RegionType', 'County', 'CountyType', 'LocalityType', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"08205 Київська Ірпінь 08205, Київська обл.";"['PostCode', 'Region', 'Locality', 'PostCode', 'Region', 'RegionType']"
"10000 с.Зарічани буд. 110";"['PostCode', 'Locality', 'HouseNumberType', 'HouseNumber']"
"10005 Житомирська Житомир 10005, Житомирська область";"['PostCode', 'Region', 'Locality', 'PostCode', 'Region', 'RegionType']"
"51900 Дніпропетровська с. Єлизаветівка 51900, Дніпропетровська обл.";"['PostCode', 'Region', 'LocalityType', 'Locality', 'PostCode', 'Region', 'RegionType']"
"53200 НІКОПОЛЬ вул. МАЖАЙСЬКОГО, буд. 121";"['PostCode', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"53400 Днепропетровская Марганец Б.Хмельницкого, 39";"['PostCode', 'Region', 'Locality', 'Street', 'HouseNumber']"
"54000 Миколаївська Миколаїв просп. Жовтневий, буд. 12-А, кв. 19";"['PostCode', 'Region', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"58000 Чернівці Героїв Майдану, Буд. 111, Кв. 16";"['PostCode', 'Locality', 'Street', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"58026 Чернівці 2-Й Можайського, Буд. 20";"['PostCode', 'Locality', 'Street', 'Street', 'HouseNumberType', 'HouseNumber']"
"65003 Одеська обл. Суворовський Одеса вул. ат. головатого, буд. 56, кв. 21";"['PostCode', 'Region', 'RegionType', 'SubLocality', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"69000 Запорізька Запоріжжя КОСМІЧА 89 9";"['PostCode', 'Region', 'Locality', 'Street', 'HouseNumber', 'Apartment']"
"Дніпропетровська, 52200, м.Жовті Води, вул. Горького, 23, 26";"['Region', 'PostCode', 'Locality', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Дніпропетровська, 50000 Кривий Ріг, Кривий Ріг, Вулиця Доватора, 1, 65";"['Region', 'PostCode', 'Locality', 'Locality', 'Locality', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Хмельницька, 61000 Харків, Харків, Вулиця Світла, 13, 35";"['Region', 'PostCode', 'Locality', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Київ, 01001, м.Київ, вул Тампере 10 гурт";"['Region', 'PostCode', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'HostelType']"
"Дніпропетровська, 49132 Амур-Нижньодніпровський, м.Дніпропетровськ, вул. Донецьке шосе, 108, 57";"['Region', 'PostCode', 'SubLocality', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumber', 'Apartment']"
"94400 М.СУХОДІЛЬСЬК ВУЛ.ЛЕНІНА 48/21";"['PostCode', 'Locality', 'Street', 'HouseNumber']"
"94400 с.Білоскелювате вул.Леніна, 32";"['PostCode', 'Locality', 'Street', 'HouseNumber']"
"80300 ЛЬВІВСЬКА ОБЛАСТЬ Жовківський район Жовква вул. Я.Мудрого, буд. 8";"['PostCode', 'Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"49000, Україна, Дніпропетровська обл., м.Дніпро, Самарский, вул.Бехтерева, 3";"['PostCode', 'Country', 'Region', 'RegionType', 'Locality', 'SubLocality', 'Street', 'HouseNumber']"
"49000, Україна, Дніпропетровська обл., м.Дніпро, Кировский, вул.Набережна ім. Леніна, 10";"['PostCode', 'Country', 'Region', 'RegionType', 'Locality', 'SubLocality', 'Street', 'Street', 'Street', 'HouseNumber']"
"49000, Україна, Дніпропетровська обл., м.Дніпро, Ленинский, тупик Степовий, 12";"['PostCode', 'Country', 'Region', 'RegionType', 'Locality', 'SubLocality', 'StreetType', 'Street', 'HouseNumber']"
"49000, Україна, Дніпропетровська обл., м.Дніпро, Кировский, вул.Кулагіна, 11";"['PostCode', 'Country', 'Region', 'RegionType', 'Locality', 'SubLocality', 'Street', 'HouseNumber']"
"Дніпропетровська С. ЮВІЛЕЙНЕ вул. СОВХОЗНА, буд. 54А, кв. 82";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"Донецька Николаевка Ул.З.Космодемянской 35";"['Region', 'Locality', 'Street', 'HouseNumber']"
"Луганська Антрацитівський м. Антрацит ТИМІРЯЗЕВА, 16";"['Region', 'SubLocality', 'LocalityType', 'Locality', 'Street', 'HouseNumber']"
"01000, Україна, Дніпропетровська, м. Дніпро, вул. Мельченка, буд. 32";"['PostCode', 'Country', 'Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"01000, Україна, Дніпропетровська, м. Кривий Ріг, вул. Яцьківа, буд. 19";"['PostCode', 'Country', 'Region', 'LocalityType', 'Locality', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"01000, Україна, Дніпропетровська, м. Нікополь, просп. Трубників, буд. 24, кв. 63";"['PostCode', 'Country', 'Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
